name,contract_address,proxy_address,deviation_threshold,heartbeat,decimals,asset_class,product_name,ens,path,base_asset,quote_asset
WBTC.e Proof of Reserves,0x017780bFA4D66Ee3b4b816a15b0f05DF2654f7B9,0xebEfEAA58636DF9B20a4fAd78Fad8759e6A20e87,1e-7,86400,8,custom,,wbtce-por,wbtc.e-por,,
YETH-ETH Exchange Rate,0x08DFfE6AC415B0d10C6b7b2d21c106e40c9d2c1f,0x735f816f63890c6E9FF28484E2d257e9c5dc4788,0.05,86400,18,custom,,yetheth-exchange-rate,yeth-eth-exchange-rate,,
GLV [AVAX-USDC] / USD,0x0944961A913Ab2247827E419B8299642388f787D,0x0A6fd6F735faCD3Cdb1D5aE1c74ebd54a4fc3CCf,0.25,86400,18,new,,glv-avaxusdc-usd,glv-[avax-usdc]-usd,,
SAND / USD,0x0B2bFcbE40213cF93CE2Be85156DD16E31483f70,0x6f2A1D4014FED967172FC7caCf7a6e04Cf02752e,0.5,86400,8,low,,sand-usd,sand-usd,,
savUSD-vUSD Exchange Rate,0x0d0284f3E249E635e3984810B233e7bBD62F3C91,0x1ff75B09dC8B749252F46ec482c8a4700Eb6C644,0.05,86400,18,custom,,savusdvusd-exchange-rate,savusd-avusd-exchange-rate,,
SNX / USD,0x0e3FabD2B77837597a477FD57354c09EB4A4B966,0x01752eAAB988ECb0ceBa2C8FC97c4f1d38Bf246D,0.5,86400,8,medium,,snx-usd,snx-usd,,
XAU / USD,0x10a1ac27D8e9dD6Ad255cD60432FdAC8828C2f07,0x1F41EF93dece881Ad0b98082B2d44D3f6F0C515B,0.5,86400,8,low,,xau-usd,xau-usd,,
WSTETH / ETH,0x145E49286f91EfABCd76047B725C4b475034B015,0xCF60B4E089eA1ABA29C01b017b38c2f7D69Eb36B,0.5,86400,18,medium,,wsteth-eth,wsteth-eth,,
ALPHA / USD,0x15505bcC6D3c6f8F3cfC3d6D96f5A6301A08D2cc,0x7B0ca9A6D03FE0467A31Ca850f5bcA51e027B3aF,0.5,86400,8,deprecating,,alpha-usd,alpha-usd,,
SHIB / USD,0x184CCa2bA7015052424Fa2f509fB252926789D7C,0x7Ee401373A92f885a7C3A53CF46dbe661eaFb1C0,0.5,86400,18,low,,shib-usd,shib-usd,,
CVX / USD,0x1C3BEDe28d09d5dc36D861E9345628bAaCfd88b8,0x52F8026423B5E04FdD9E4b5725B68230b71D019b,0.5,86400,8,low,,cvx-usd,cvx-usd,,
WSRUSD / RUSD Exchange Rate,0x1EBE00513e2771fBCD7ac2ce567E4A294bE41f4c,0x1f9789982b7c72FFFa1874f0017F7de9BBdA0901,0.5,86400,18,custom,,wsrusd-rusd-exchange-rate,wsrusd-rusd-exchange-rate,,
Exchange Rate ggAVAX / AVAX,0x1Fba5168339E2C0cC01Dc334E9B43D97cf2150a0,0xA5ecED13b233BcF5c58BFbada5247d5B2893cB9a,0.05,86400,18,Crypto,,exchange-rate-ggavax-avax,exchange-rate-ggavax-avax,,
DAI.e Proof of Reserves,0x1c4841636a4848d474892E7408312804D3f9a43F,0x976D7fAc81A49FA71EF20694a3C56B9eFB93c30B,1e-7,86400,18,custom,,daie-por,dai.e-por,,
QI / USD,0x25E112615Cc5A81536273d6Cb0e62c638f0A2D4c,0x36E039e6391A5E7A7267650979fdf613f659be5D,0.5,1800,8,high,,qi-usd,qi-usd,,
MIM / USD,0x27665af435875E934Fc7F73802E360C1e4934261,0x54EdAB30a7134A16a54218AE64C73e1DAf48a8Fb,0.5,86400,8,Crypto,,mim-usd,mim-usd,,
EUR / USD,0x2B61A020bf32Ea02404BE6fdB5E69517d6f17d63,0x192f2DBA961Bb0277520C082d6bfa87D5961333E,0.15,86400,8,low,,eur-usd,eur-usd,,
BAT / USD,0x2C8E85dE52231228E17a8Cf8680250B6066130A5,0xe89B3CE86D25599D1e615C0f6a353B4572FF868D,0.5,86400,8,medium,,bat-usd,bat-usd,,
Re Offchain Reserves,0x2c04457B00b09f30D3Bc866E3d14493a8069E7d7,0xc79a363a3f849d8b3F6A1932f748eA9d4fB2f607,0.01,86400,8,custom,,re-offchain-reserves,re-reserves,,
WOO / ETH,0x30b48C6821B8611756556523a323a20c9A72BB2d,0xfAa665F5a0e13beea63b6DfF601DD634959690Df,0.5,86400,18,medium,,woo-eth,woo-eth,,
CHF / USD,0x37FAb7e59f59a52870012A61314D95f2A9e52288,0xA418573AB5226711c8564Eeb449c3618ABFaf677,0.3,86400,8,low,,chf-usd,chf-usd,,
AAVE Network Emergency Count (Avalanche),0x385cc3e9904549cf559230a20a87f1AaFF4098E9,0x41185495Bc8297a65DC46f94001DC7233775EbEe,0.0001,86400,8,custom,,aave-network-emergency-count-avalanche,aave-network-emergency-count-avalanche,,
KNC / USD,0x38E41034eA72CaE98aC14c0fFa8fe992C57d78c5,0x9df2195dc96e6Ef983B1aAC275649F3f28F82Aa1,0.5,86400,8,medium,,knc-usd,knc-usd,,
SGD / USD,0x39b3e74A77206Df2683792c5DC8012Ea6bD39E4F,0x05950959B6d876ae0fed1BBe5Caa2d74d8659D59,0.3,86400,8,low,,sgd-usd,sgd-usd,,
Real GDP — Percent Change (Annual Rate),0x3D4C272Ef16e19D84BA1ce15ce21571c994A4C5c,0x3Eb06AE1Ef3adE7B529Fcce522611c6A044697cC,1e-7,3024000,1,custom,,real-gdp-percent-change-annual-rate,real-gdp-percentage,,
Real GDP - Level,0x3d055bd7140dDe26AaB5fD00EB25Ac97b511Df75,0x665Fa131DE7af7606c785F26e66d07cA43a274D9,1e-7,3024000,3,custom,,real-gdp-level,real-gdp-level,,
WBTC / USD,0x3de683f981469069D0d5C30b0C7763ceC543221d,0x86442E3a98558357d46E6182F4b262f76c4fa26F,0.1,86400,8,low,,wbtc-usd,wbtc-usd,,
ADA / USD,0x43bDe0bb499449084EE5Cb91cffF139b44DD9cD7,0x69C2703b8F1A85a2EF6aBDd085699a9F909BE053,0.5,86400,8,low,,ada-usd,ada-usd,,
BTC.b Proof of Reserves,0x461b95e560697B0C83AB569f06034832a4b62707,0x99311B4bf6D8E3D3B4b9fbdD09a1B0F4Ad8e06E9,1e-7,3600,8,custom,,btcb-por,btcb-por,,
AUSD / USD,0x4A5cE69A1aDA639042B30e1574Eb9D6e939388A3,0x5C2d58627Fbe746f5ea24Ef6D618f09f8e3f0122,0.5,86400,8,low,,ausd-usd,ausd-usd,,
Real Final Sales to Private Domestic Purchasers — Percent Change (Annual Rate),0x50110aA52b0686E8dD7E85cbd0a956c99e526b5C,0x273e7833604F74a6f80f6B25568D29DE33570e99,1e-7,3024000,1,custom,,real-final-sales-to-private-domestic-purchasers-percent-change-annual-rate,real-final-sales-to-private-domestic-purchasers-percentage,,
XAVA / USD,0x5049D7927BB160267bDdA22ADD6Bd85e21eFFE77,0x4Cf57DC9028187b9DAaF773c8ecA941036989238,0.5,86400,8,high,,xava-usd,xava-usd,,
USTC / USD,0x54870ED0Adc3807F9A802bfA2A6a9e02049609Bd,0xf58B78581c480caFf667C63feDd564eCF01Ef86b,0.3,86400,8,medium,,ust-usd,ust-usd,,
AXS / USD,0x566FB95c9F636a0d27b5874d49C1dfffA2551014,0x155835C5755205597d62703a5A0b37e57a26Ee5C,0.5,86400,8,medium,,axs-usd,axs-usd,,
FRAX / USD,0x5995b0D7A318E44ee654F5f188372E4a3a249c5d,0xbBa56eF1565354217a3353a466edB82E8F25b08e,0.5,86400,8,medium,,frax-usd,frax-usd,,
WRSETH-ETH Exchange Rate ,0x5a311C2Dd8Ae17d7636cD1e71587e44260Ce9cF2,0xFA38289Fe9f043aD8CCD8e81b28C1D02666D51b6,0.05,86400,18,custom,,wrsetheth-exchange-rate-,wrseth-eth,,
JOE / USD,0x5bE2774141256E0423D1bC3Da7098ba7E0C9fc6E,0x02D35d3a8aC3e1626d3eE09A78Dd87286F5E8e3a,0.5,1800,8,medium,,joe-usd,joe-usd,,
WSTLINK-LINK Exchange Rate,0x5eFD28e2dEFD2931fbE711DC03Ee8d09d9eC9703,0xd604e3c218d567b648Cd4B81cCd7Dddb56696331,0.5,86400,18,custom,,wstlinklink-exchange-rate,wstlink-link-exchange-rate,,
LINK.e Proof of Reserves,0x61595142b147De812B43C66f30094a3219a38bCD,0x943cEF1B112Ca9FD7EDaDC9A46477d3812a382b6,1e-7,86400,18,custom,,linke-por,link.e-por,,
Real Final Sales to Private Domestic Purchasers — Level,0x61a7956EBDa4356c2482aF3B9f59b6255ECfCa1C,0x982057Fd0A53d52E558A722ba53Ad95E702Da0dF,1e-7,3024000,3,custom,,real-final-sales-to-private-domestic-purchasers-level,real-final-sales-to-private-domestic-purchasers-level,,
USDC / USD,0x65527d2556ffFEe7e545C5eE5B81f5DAe925cE00,0xF096872672F44d6EBA71458D74fe67F9a77a23B9,0.1,86400,8,low,,usdc-usd,usdc-usd,,
LINK / AVAX,0x6576f172a3DfB3B78Eb028773ec5c1Aa676E4Fb1,0x1b8a25F73c9420dD507406C3A3816A276b62f56a,0.5,86400,18,medium,,link-avax,link-avax,,
SUSHI / USD,0x6C63b7B14380a4840B32c787f2842e27cdD0188a,0x449A373A090d8A1e5F74c63Ef831Ceff39E94563,0.5,86400,8,low,,sushi-usd,sushi-usd,,
CZK / USD,0x6a040DAbE268Ed29bF8b230D45d65d4055edD0Fb,0x545d17579D0F7b422Cd647B9E6a6FA4b45F6e1C5,0.5,86400,8,low,,czk-usd,czk-usd,,
BEAM / USD,0x6cBEE88E5af162c453311D12c6688D202613E749,0x3427232b88Ce4e7d62A03289247eE0cA5324f6ba,0.5,86400,8,medium,,beam-usd,beam-usd,,
WSTETH / USD,0x70f69FA03E4CE3D8033d178Fd26dE5270C9C4982,0xB5f607A2bb2C950053F4DA1F535180e5902EAD16,0.5,86400,8,medium,,wsteth-usd,wsteth-usd,,
POL / USD,0x7201fF7588B5bFfAC7b3Dd5ca177c71e2Bf90CFD,0x7B0e7d292d414788B080EfCa58b04B6372789639,0.5,86400,8,low,,pol-usd,pol-usd,,
SPELL / USD,0x72470E4Cb2CA62C71783dE44259ef68DA6cBF78C,0x4F3ddF9378a4865cf4f28BE51E10AECb83B7daeE,0.5,1800,8,medium,,spell-usd,spell-usd,,
TRY / USD,0x725E90a77dA43e3B70FA5fbcc8313ca61c98A352,0xA61bF273688Ea095b5e4c11f1AF5E763F7aEEE91,0.1,86400,8,low,,try-usd,try-usd,,
wstETH-stETH Exchange Rate,0x7921B896f96E951809ce009f259FF9d12438C467,0x84FF93CAD57DcD39b21895171D30A7A0e7851C75,0.5,86400,18,custom,,wsteth-steth,wsteth-steth,,
SYRUPUSDT / USD Exchange Rate,0x7dfC1d0F6Ec09f380711f1168d0393B14c638770,0x908C8195E085b3290d335014B94E6F1C886a889F,0.05,86400,18,custom,,syrupusdt-usd-exchange-rate,syrupusdt-usd-exchange-rate,,
fsBTC - Frictionless Bitcoin Treasury Fund - Reserves,0x816B2DC017083D66FCe4496fae71c9285772e735,0xfD2b540D6c147D0889A1F1B97a2A9aB694992677,5,43200,8,custom,,fsbtc-frictionless-bitcoin-treasury-fund-reserves,fsbtc-reserves,,
SolvBTC.BBN / SolvBTC Exchange Rate,0x8273492CC60D6aD10914d5Ad10De564553302913,0xc0990e0989141a5F535a2a24b6Af65618CC83d32,0.01,86400,18,custom,,solvbtcbbn-solvbtc-exchange-rate,solvbtc.bbn-solvbtc-exchange-rate,,
FIL / USD,0x83679e183566935Ee70a3D03C683404E5a9C5A2a,0x2F194315f122d374a27973e259783d5C864A5bf6,0.5,86400,8,low,,fil-usd,fil-usd,,
GHO / USD,0x8742DB1bC8cA3E9ce4D8fF1bA131c32aD24589A3,0x076DE3812BDbdAe1330064fc01Adf7f4EAa123f3,0.25,86400,8,medium,,gho-usd,gho-usd,,
solvBTC / BTC,0x889a423bde673d05430c4CDa9f89A29805f57d2D,0x5ff6c083B7B2BD0D61beB7173B3757e1a1e6E1C6,1,86400,8,high,,solvbtc-btc,solvbtc-btc,,
SUSDE-USDE-Exchange-Rate,0x89c9FbcA60653Da14906035aF39C670F40453EB7,0xb7441BBD0298aaeF4f2BbD40E8025Cf59cA6E8D5,0.05,86400,18,custom,,susdeusdeexchangerate,susde-usde-exchange-rate,,
GMX / USD,0x8C8Da958396815469f289768b980DBCAcfE9F279,0x3F968A21647d7ca81Fb8A5b69c0A452701d5DCe8,0.1,86400,8,medium,,gmx-usd,gmx-usd,,
ARB / USD,0x8aa724c07Cfaf4A16f754526b00F4df91F1d715b,0xd99bcAdbE216D82f4B77eC54a99ea1b6bA96549b,0.5,86400,8,low,,arb-usd,arb-usd,,
Ion Digital Total Reserve,0x91E5f42a17e0C86746B74e898F640A5d162b5978,0x121C188f76831f504bD29C753074B37a4177cEc3,1,86400,18,custom,,ion-digital-total-reserve,ion-digital-total-reserve,,
DAI / USD,0x94BdDfA622FcEB1b44e50608cb02f1a583784224,0x51D7180edA2260cc4F6e4EebB82FEF5c3c2B8300,0.1,86400,8,low,,dai-usd,dai-usd,,
LINK / USD,0x9FC8683EFf42913f0F1F32EEc2f21340017FCDdB,0x49ccd9ca821EfEab2b98c60dC60F518E765EDe9a,0.5,86400,8,low,,link-usd,link-usd,,
ETH / USD,0x9ff520924dC295074F43a8a01Ee30a4D39a4223b,0x976B3D034E162d8bD72D6b9C989d545b839003b0,0.1,86400,8,low,,eth-usd,eth-usd,,
MATICX / USD Calculated,0xA6D08e6F2b20707D79801Ff419091265DDDCBb58,0xc43861646Cdc051D04CA0c9dF2265FFcFa0dF6f3,0.5,3600,18,Crypto,,maticx-usd-calculated,maticx-usd-calculated,,
syrupUSDC-USDC Exchange Rate,0xB0A8471d9A217bd553B2485697Ab9CAb05df852f,0xC63eD21bb4577Ff5a762591c73D4b0BCCfAD7AEb,0.05,86400,18,custom,,syrupusdcusdc-exchange-rate,syrupusdc-usdc-exchange-rate,,
PCE Price Index — Level,0xB0BE176247438D0142785421Fb558E035cC30e63,0x962Aba596fe6842D644c51b2F112190e6B6e94B4,1e-7,3024000,3,custom,,pce-price-index-level,pce-price-index-level,,
DOT / USD,0xC3e5dDD4f98cDFfaF77685e340FF5c32d7282C5C,0xD73a74314AcCb53b30cAfDA0cb61c9772B57C4a2,0.5,86400,8,low,,dot-usd,dot-usd,,
AAVE.e Proof of Reserves,0xC5463267394709421b0FF3726dd21e152Ec0B1D9,0x14C4c668E34c09E1FBA823aD5DB47F60aeBDD4F7,1e-7,86400,18,custom,,aavee-por,aave.e-por,,
UNI / USD,0xC54d8293A7f98ef887BE882311E4C274BE67f927,0x9a1372f9b1B71B3A5a72E092AE67E172dBd7Daaa,0.15,86400,8,low,,uni-usd,uni-usd,,
Ion Digital Total Reserve,0xC664E24102e0a9d3b64D08fCBFE11dD7A378809d,0x0AB119EB3f6820BA43c345e9aAbF1e3dE3C09Ce4,1,86400,8,custom,,ion-digital-por,ion-digital-por,,
MIMATIC / USD,0xCdE5431BCa66081d509d15c9bD036208Ee118081,0x5D1F504211c17365CA66353442a74D4435A8b778,1,86400,8,Crypto,,mimatic-usd,mimatic-usd,,
WETH.e Proof of Reserves,0xD38Acd83073EeF07186D5Db701C576aD42D6cf27,0xDDaf9290D057BfA12d7576e6dADC109421F31948,1e-7,86400,18,custom,,wethe-por,weth.e-por,,
NEAR / USD,0xD74bBE6Db11AD5F3D4F7d4Ee23D9C9d5c301D4e0,0x7FDE7f51dc2580dd051e17A333E28CDC8176da0A,0.5,86400,8,low,,near-usd,near-usd,,
XAG / USD,0xDEaC6b0CA04377F0051CB8C7A83c5e6F6525106d,0xA771e0D1e9E1eCc07C56CC38240779E54337d682,0.3,86400,8,low,,xag-usd,xag-usd,,
wstPOL-POL Exchange Rate,0xE28BdCd47F806E8A1f87D2e8b14F39399647AA40,0xFbAc2cBC1c0083D4edC9ce47F72F3B0D9bc67F9C,0.5,86400,18,custom,,wstpolpol-exchange-rate,wstpol-pol-exchange-rate,,
JPY / USD,0xE91B9f158A6e89a43223e064331532e981Cf2DcA,0xf8B283aD4d969ECFD70005714DD5910160565b94,0.3,86400,8,low,,jpy-usd,jpy-usd,,
COMP / USD,0xEBfd3f7FE2d4C1B017b41f5edAFaDF8AdCA4C034,0x9D6AA0AC8c4818433bEA7a74F49C73B57BcEC4Ec,0.5,86400,8,low,,comp-usd,comp-usd,,
xSolvBTC NAV,0xF4D6Ed96A78EB7e78B77D47cfD288C2468024D3B,0x55b5dc7d7CDD5d3b2Eb189bf11140839076E5d40,1e-7,86400,18,custom,,xsolvbtc-nav,xsolvbtc-nav,,
TUSD / USD,0xFE7019D5BCD395C56FB1cF43be548B1F056288FB,0x9Cf3Ef104A973b351B2c032AA6793c3A6F76b448,0.5,86400,8,medium,,tusd-usd,tusd-usd,,
YBTC.B / BTC,0xFd436ad484d29bd75D0917777a8d7b183255212b,0x7f7A07FFDe2ab490dad0C0D139d6c730bbe842cC,0.5,86400,8,new,,ybtcb-btc,ybtc.b-btc,,
BNB / USD,0xFfAc06e5D08455474192a4dA40dFEdd2090FdaA3,0xBb92195Ec95DE626346eeC8282D53e261dF95241,0.5,86400,8,low,,bnb-usd,bnb-usd,,
SUSDE / USD,0xa89e19ab2B8d10F638b2e2F5a1eEa7A92704F836,0x14488868FC8B1fFB381d6F49907EE75B3f0C2a0F,0.5,86400,8,low,,susde-usd,susde-usd,,
BTC / USD,0xa9Afa74dDAC812B86Eeaa60A035c6592470F4A48,0x2779D32d5166BAaa2B2b658333bA7e6Ec0C65743,0.1,86400,8,low,,btc-usd,btc-usd,,
Calculated SAVAX / USD,0xaF6d571225583C9da8ced6f33CD1766bD2ab6c4b,0x2854Ca10a54800e15A2a25cFa52567166434Ff0a,0.1,120,18,custom,,calculated-savax-usd,calculated-savax-usd,,
MANA / USD,0xbAa30e66208a21E7481e402cb178513A2D0FFdF8,0x774f067083f23cAB866310489419C884a6Dc00a8,0.5,86400,8,medium,,mana-usd,mana-usd,,
AAVE / USD,0xc03C33937F4Ae48f72a9563abfDde76D46B8548F,0x3CA13391E9fb38a75330fb28f8cc2eB3D9ceceED,0.5,86400,8,low,,aave-usd,aave-usd,,
YFI / USD,0xcBA6A35775174A4929eD40b3a2D626b492778D02,0x28043B1Ebd41860B93EC1F1eC19560760B6dB556,0.5,86400,8,medium,,yfi-usd,yfi-usd,,
YBTC-BTC Exchange Rate,0xcDbD698F3A2163f640A8FE326E4570272f24dA6f,0xAba063634dA21488a0C8A4415cf7651a013B12B5,0.05,86400,18,custom,,ybtcbtc-exchange-rate,ybtc-btc-exchange-rate,,
AVAX / USD,0xcfBfE648BA88Bf7D9776d970417a0B26c315feB4,0x0A77230d17318075983913bC2145DB16C7366156,0.1,120,8,low,,avax-usd,avax-usd,,
EURC / USD,0xd2eB0f960e2Af673C4162c82ffBf7e967534C1D9,0x3368310bC4AeE5D96486A73bae8E6b49FcDE62D3,0.3,86400,8,low,,eurc-usd,eurc-usd,,
USDT.e Proof of Reserves,0xd4452d1811AA9AC14B9c55444a1B55CDB97760eC,0x94D8c2548018C27F1aa078A23C4158206bE1CC72,1e-7,86400,6,custom,,usdte-por,usdt_e-por,,
USDT / USD,0xd761cFc03e833FEBB04297Cc1aB7291D80c9595f,0xEBE676ee90Fe1112671f19b6B7459bC678B67e8a,0.1,86400,8,low,,usdt-usd,usdt-usd,,
CRV / USD,0xdae179d0782cE28d6fD0cedd965C69B54B794aB8,0x7CF8A6090A9053B01F3DF4D4e6CfEdd8c90d9027,0.5,86400,8,low,,crv-usd,crv-usd,,
savBTC-avBTC Exchange Rate,0xe1dA6fa0c5739F89fEd4666CE4A3b9B5652a1F68,0x80091AEc326bE58223620D827fd5189FaC8b43C0,0.05,86400,18,custom,,savbtcavbtc-exchange-rate,savbtc-avbtc-exchange-rate,,
EmCH Reserves,0xe3fA7342C4096E02aB376f64b6C5251bf6f3c657,0x0d2807dc7FA52d3B38be564B64a2b37753C49AdD,1e-7,86400,8,custom,,emch-reserves,emch-reserves,,
PCE Price Index — Percent Change (Annual Rate),0xeF64D0B43E579559771695758178f6AfA0045102,0x9A9587Da4Fd5DD3C9AD47C12aFeec5073C8cFc2a,1e-7,3024000,1,custom,,pce-price-index-percent-change-annual-rate,pce-price-index-percentage,,
USDC.e Proof of Reserves,0xf52BF03f3f406BAAADE542b3D2D5CeCfFf1754E6,0x63769951E4cfDbDC653dD9BBde63D2Ce0746e5F2,1e-7,86400,6,custom,,usdce-por,usdc_e-por,,
CHZ / USD,0xfb317b2a4404802dF62c87a5982EE383F2711ce6,0xC4D7270aCc921DE5A17452437257f075C1298eB3,0.5,86400,8,medium,,chz-usd,chz-usd,,
